OpenBUGS version 3.2.3 rev 1012
model is syntactically correct
data loaded
model compiled
initial values loaded and chain initialized but another chain contain uninitialized variables
model is initialized
model is already initialized
5000 updates took 1325 s
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
10000 updates took 4293508 s
CODA files written
Summary statistics
		mean	sd	val2.5pc	median	val97.5pc	sample
	dRR_Oir[13,17]	10.97	3.043	5.912	10.68	17.82	20000
	dRR_Oir[13,18]	1.174	0.7604	0.2378	0.9958	3.114	20000
	dRR_Oir[13,19]	18.56	4.108	11.29	18.3	27.33	20000
	dRR_Oir[13,20]	37.81	6.325	26.46	37.49	51.17	20000
	dRR_Oir[13,21]	51.94	7.214	39.02	51.54	67.22	20000
	dRR_Oir[13,22]	29.46	5.131	20.29	29.14	40.48	20000
	dRR_Oir[14,1]	1.602	1.135	0.2819	1.322	4.556	20000
	dRR_Oir[14,2]	2.894	1.643	0.7355	2.561	6.973	20000
	dRR_Oir[14,3]	2.541	1.531	0.5888	2.211	6.35	20000
	dRR_Oir[14,5]	6.273	2.691	2.306	5.848	12.7	20000
	dRR_Oir[14,6]	1.009	0.8776	0.123	0.7551	3.335	20000
	dRR_Oir[14,7]	4.391	2.205	1.286	3.986	9.698	20000
	dRR_Oir[14,8]	2.326	1.584	0.4482	1.944	6.41	20000
	dRR_Oir[14,9]	5.009	2.46	1.574	4.555	11.03	20000
	dRR_Oir[14,10]	0.7927	0.6921	0.1022	0.5913	2.644	20000
	dRR_Oir[14,11]	1.8	1.194	0.3961	1.516	4.927	20000
	dRR_Oir[14,12]	0.1302	0.1596	0.00949	0.0797	0.5564	20000
	dRR_Oir[14,13]	14.55	5.057	6.7	13.87	26.21	20000
	dRR_Oir[14,14]	12.37	4.309	5.622	11.76	22.24	20000
	dRR_Oir[14,15]	7.65	3.12	2.931	7.183	14.94	20000
	dRR_Oir[14,16]	5.013	2.313	1.703	4.625	10.49	20000
	dRR_Oir[14,17]	5.851	2.715	1.978	5.389	12.26	20000
	dRR_Oir[14,18]	0.6253	0.5307	0.09657	0.4771	2.064	20000
	dRR_Oir[14,20]	15.45	5.354	7.093	14.73	28.06	20000
	dRR_Oir[14,21]	18.03	5.041	9.619	17.5	29.31	20000
	dRR_Oir[14,22]	13.54	4.585	6.419	12.93	23.95	20000
	dRR_Oir[15,1]	4.427	4.045	0.5631	3.243	15.06	20000
	dRR_Oir[15,2]	18.58	12.01	4.019	15.77	48.8	20000
	dRR_Oir[15,3]	5.583	4.748	0.8095	4.234	17.81	20000
	dRR_Oir[15,5]	9.768	7.152	1.756	7.915	28.91	20000
	dRR_Oir[15,6]	1.451	1.711	0.1269	0.9168	5.736	20000
	dRR_Oir[15,8]	2.815	2.726	0.3334	1.993	9.705	20000
	dRR_Oir[15,9]	14.7	9.773	3.043	12.28	40.17	20000
	dRR_Oir[15,10]	1.043	1.121	0.1084	0.6978	4.037	20000
	dRR_Oir[15,11]	3.041	2.619	0.485	2.276	10.29	20000
	dRR_Oir[15,12]	0.1402	0.183	0.009908	0.08269	0.6061	20000
	dRR_Oir[15,13]	11.11	7.923	2.276	9.134	31.86	20000
	dRR_Oir[15,14]	118.9	44.21	52.88	111.9	223.4	20000
	dRR_Oir[15,15]	12.4	8.369	2.634	10.31	33.85	20000
	dRR_Oir[15,17]	40.06	20.93	11.89	35.97	91.96	20000
	dRR_Oir[15,18]	0.7736	0.7787	0.09759	0.5487	2.827	20000
	dRR_Oir[15,19]	51.75	24.65	17.35	47.37	112.0	20000
	dRR_Oir[15,20]	30.16	17.35	7.867	26.41	75.39	20000
	dRR_Oir[15,21]	32.72	18.38	8.906	28.82	77.76	20000
	dRR_Oir[15,22]	33.7	18.31	9.574	29.77	78.21	20000
	dRR_Oir[16,10]	0.9115	0.8558	0.1064	0.6542	3.273	20000
	dRR_Oir[16,11]	2.315	1.693	0.4406	1.857	6.715	20000
	dRR_Oir[16,12]	0.1344	0.1657	0.01011	0.08322	0.5797	20000
	dRR_Oir[16,13]	18.57	8.311	6.634	17.19	39.36	20000
	dRR_Oir[16,14]	26.14	10.09	11.14	24.66	49.8	20000
	dRR_Oir[16,15]	21.08	8.458	8.399	19.76	41.19	20000
	dRR_Oir[16,17]	22.98	9.53	8.97	21.54	45.51	20000
	dRR_Oir[16,18]	0.7086	0.6514	0.09705	0.5169	2.412	20000
	dRR_Oir[16,19]	29.29	11.1	12.52	27.61	55.46	20000
	dRR_Oir[16,20]	86.23	25.87	45.94	82.9	145.1	20000
	dRR_Oir[16,21]	33.93	12.7	14.7	32.05	64.16	20000
	dRR_Oir[16,22]	20.16	8.486	7.864	18.73	40.39	20000
	dRR_Oir[17,8]	3.699	3.599	0.4107	2.578	13.27	20000
	dRR_Oir[17,9]	20.71	16.9	2.745	15.72	65.92	20000
	dRR_Oir[17,10]	0.7359	0.5844	0.1074	0.5772	2.268	20000
	dRR_Oir[17,11]	1.32	0.7827	0.335	1.145	3.281	20000
	dRR_Oir[17,12]	0.1217	0.138	0.009543	0.07839	0.488	20000
	dRR_Oir[17,13]	4.058	1.695	1.529	3.782	8.072	20000
	dRR_Oir[17,14]	8.013	2.434	3.954	7.759	13.56	20000
	dRR_Oir[17,15]	5.438	1.958	2.39	5.174	10.05	20000
	dRR_Oir[17,16]	7.2	5.768	1.139	5.55	22.69	20000
	dRR_Oir[17,17]	3.394	1.593	1.104	3.11	7.263	20000
	dRR_Oir[17,18]	0.89	0.6566	0.154	0.7204	2.605	20000
	dRR_Oir[17,19]	7.6	2.638	3.418	7.296	13.68	20000
	dRR_Oir[17,20]	11.66	3.804	5.829	11.12	20.24	20000
	dRR_Oir[17,21]	14.23	3.907	7.69	13.86	22.86	20000
	dRR_Oir[17,22]	10.77	3.232	5.561	10.4	18.11	20000
	dRR_Oir[18,8]	3.988	3.009	0.5001	3.224	11.9	20000
	dRR_Oir[18,9]	23.37	11.3	5.097	22.18	48.37	20000
	dRR_Oir[18,10]	1.329	1.211	0.1443	0.9596	4.525	20000
	dRR_Oir[18,11]	3.066	0.7498	1.824	2.991	4.752	20000
	dRR_Oir[18,12]	0.09074	0.08352	0.009585	0.06536	0.3192	20000
	dRR_Oir[18,13]	27.17	4.012	21.01	26.62	36.53	20000
	dRR_Oir[18,14]	23.21	2.655	18.7	23.0	29.16	20000
	dRR_Oir[18,15]	27.72	2.56	23.11	27.61	33.01	20000
	dRR_Oir[18,16]	9.93	1.751	7.048	9.748	13.93	20000
	dRR_Oir[18,17]	34.59	3.345	28.58	34.41	41.72	20000
	dRR_Oir[18,18]	0.3037	0.1832	0.07026	0.2648	0.7509	20000
	dRR_Oir[18,19]	21.35	2.411	17.16	21.21	26.6	20000
	dRR_Oir[18,20]	30.67	4.365	23.77	30.14	40.86	20000
	dRR_Oir[18,21]	43.78	4.708	35.88	43.37	54.07	20000
	dRR_Oir[18,22]	25.58	2.858	20.61	25.35	31.6	20000
	dRR_Oir[19,11]	6.374	2.057	3.145	6.13	11.04	20000
	dRR_Oir[19,12]	0.1178	0.1288	0.009381	0.07608	0.481	20000
	dRR_Oir[19,13]	32.1	6.287	22.03	31.3	45.68	20000
	dRR_Oir[19,15]	43.42	5.076	34.19	43.18	54.18	20000
	dRR_Oir[19,16]	5.849	1.783	2.95	5.634	9.9	20000
	dRR_Oir[19,17]	59.96	6.343	48.25	59.66	73.07	20000
	dRR_Oir[19,18]	0.4634	0.3358	0.08488	0.3783	1.333	20000
	dRR_Oir[19,19]	23.88	3.753	17.14	23.73	31.9	20000
	dRR_Oir[19,20]	12.42	3.306	7.002	12.05	19.49	20000
	dRR_Oir[20,14]	10.13	2.168	7.314	9.857	14.37	20000
	dRR_Oir[20,15]	14.31	2.343	10.74	14.01	19.8	20000
	dRR_Oir[20,16]	10.32	1.666	7.625	10.14	14.04	20000
	dRR_Oir[20,17]	21.27	3.181	16.51	20.79	28.98	20000
	dRR_Oir[20,18]	0.2341	0.158	0.04252	0.1964	0.6354	20000
	dRR_Oir[20,19]	15.1	2.266	11.52	14.8	20.42	20000
	dRR_Oir[20,20]	3.481	0.8422	2.132	3.378	5.384	20000
	dRR_Oir[20,21]	10.04	1.799	7.29	9.804	14.33	20000
	dRR_Oir[21,1]	18.94	4.311	11.55	18.55	28.18	20000
	dRR_Oir[21,2]	29.88	5.531	20.06	29.55	41.54	20000
	dRR_Oir[21,3]	60.34	8.06	45.58	59.92	77.15	20000
	dRR_Oir[21,5]	13.55	3.629	7.517	13.2	21.59	20000
	dRR_Oir[21,6]	11.91	3.353	6.42	11.57	19.4	20000
	dRR_Oir[21,7]	4.624	1.997	1.662	4.299	9.292	20000
	dRR_Oir[21,8]	2.716	1.394	0.788	2.461	6.103	20000
	dRR_Oir[21,9]	27.89	5.403	18.45	27.52	39.43	20000
	dRR_Oir[21,10]	3.427	1.598	1.122	3.154	7.256	20000
	dRR_Oir[21,11]	51.39	7.033	38.52	50.95	66.35	20000
	dRR_Oir[21,12]	0.1433	0.162	0.01068	0.09054	0.5836	20000
	dRR_Oir[21,13]	39.67	6.369	28.14	39.37	52.78	20000
	dRR_Oir[21,14]	46.93	7.105	33.96	46.56	61.75	20000
	dRR_Oir[21,15]	55.53	8.923	39.63	54.86	74.24	20000
	dRR_Oir[21,16]	6.668	2.488	2.825	6.337	12.35	20000
	dRR_Oir[21,17]	73.0	8.85	56.75	72.64	91.5	20000
	dRR_Oir[21,18]	0.393	0.3273	0.05628	0.3002	1.245	20000
	dRR_Oir[21,19]	23.14	4.777	14.9	22.76	33.29	20000
	dRR_Oir[21,20]	14.03	3.715	7.798	13.7	22.25	20000
	dRR_Oir[21,21]	55.1	7.777	41.15	54.74	71.1	20000
	dRR_Oir[21,22]	61.09	8.111	45.07	60.64	78.33	20000
	dRR_Oir[22,1]	4.381	1.951	1.481	4.084	9.016	20000
	dRR_Oir[22,2]	5.17	2.167	1.922	4.846	10.35	20000
	dRR_Oir[22,3]	4.862	2.085	1.751	4.54	9.694	20000
	dRR_Oir[22,5]	2.967	1.558	0.8289	2.68	6.691	20000
	dRR_Oir[22,6]	2.645	1.497	0.652	2.338	6.314	20000
	dRR_Oir[22,7]	2.296	1.331	0.5653	2.006	5.579	20000
	dRR_Oir[22,8]	1.433	0.9771	0.2675	1.207	3.93	20000
	dRR_Oir[22,9]	7.121	2.935	2.713	6.678	14.12	20000
	dRR_Oir[22,10]	1.344	0.8723	0.2856	1.144	3.6	20000
	dRR_Oir[22,11]	7.453	2.565	3.356	7.139	13.4	20000
	dRR_Oir[22,12]	0.1448	0.1659	0.01084	0.09195	0.5918	20000
	dRR_Oir[22,13]	12.52	3.788	6.405	12.07	21.17	20000
	dRR_Oir[22,14]	26.1	5.4	16.74	25.63	37.65	20000
	dRR_Oir[22,15]	16.7	4.186	9.698	16.33	26.06	20000
	dRR_Oir[22,16]	3.115	1.59	0.9131	2.81	7.037	20000
	dRR_Oir[22,17]	21.65	4.851	13.32	21.24	32.18	20000
	dRR_Oir[22,18]	0.3947	0.3362	0.05605	0.2984	1.29	20000
	dRR_Oir[22,19]	9.003	3.331	3.914	8.552	16.87	20000
	dRR_Oir[22,20]	19.48	4.645	11.48	19.11	29.54	20000
	dRR_Oir[22,21]	24.94	5.298	15.78	24.53	36.57	20000
	dRR_Oir[22,22]	21.79	4.898	13.38	21.47	32.26	20000
	dRR_Oir[23,8]	2.814	2.724	0.3385	1.998	9.998	20000
	dRR_Oir[23,10]	5.026	2.531	1.514	4.554	11.23	20000
	dRR_Oir[23,11]	72.91	11.36	52.96	72.14	96.87	20000
	dRR_Oir[23,12]	0.1499	0.1746	0.01058	0.09465	0.6235	20000
	dRR_Oir[23,13]	126.8	16.09	98.41	126.0	161.2	20000
	dRR_Oir[23,14]	148.8	20.4	113.2	147.3	192.2	20000
	dRR_Oir[23,15]	194.4	22.48	153.0	193.4	243.8	20000
	dRR_Oir[23,16]	50.2	12.03	30.72	48.9	77.71	20000
	dRR_Oir[23,17]	233.0	23.27	190.4	231.5	281.5	20000
	dRR_Oir[23,18]	0.4261	0.3869	0.05583	0.3152	1.426	20000
	dRR_Oir[23,19]	73.12	12.96	50.21	72.07	101.1	20000
	dRR_Oir[23,20]	94.75	16.34	67.07	93.41	130.8	20000
	dRR_Oir[23,21]	156.3	18.46	122.9	154.9	196.9	20000
	dRR_Oir[23,22]	142.5	18.0	109.8	141.8	181.1	20000
	dRR_Oir[24,8]	2.89	3.04	0.3323	1.958	10.88	20000
	dRR_Oir[24,10]	2.95	3.001	0.3621	2.06	10.99	20000
	dRR_Oir[24,11]	22.09	16.85	4.149	17.48	65.16	20000
	dRR_Oir[24,13]	43.72	36.14	6.932	33.53	137.4	20000
	dRR_Oir[24,14]	48.61	4.557	41.01	48.14	58.88	20000
	dRR_Oir[24,15]	63.7	5.502	54.57	63.05	77.09	20000
	dRR_Oir[24,16]	19.55	3.366	14.58	19.02	27.48	20000
	dRR_Oir[24,17]	68.87	4.941	60.08	68.55	79.32	20000
	dRR_Oir[24,18]	0.2632	0.1604	0.0622	0.2277	0.6626	20000
	dRR_Oir[24,19]	32.43	3.663	26.54	31.99	40.95	20000
	dRR_Oir[24,20]	24.57	3.072	19.67	24.19	31.64	20000
	dRR_Oir[24,21]	61.9	4.679	53.8	61.6	72.08	20000
	dRR_Oir[24,22]	72.65	5.5	63.11	72.25	84.31	20000
	dRR_Oir[25,8]	2.583	2.171	0.3495	1.948	8.376	20000
	dRR_Oir[25,10]	1.198	0.7325	0.2759	1.039	3.068	20000
	dRR_Oir[25,11]	21.53	3.946	14.61	21.23	30.03	20000
	dRR_Oir[25,12]	0.14	0.1587	0.01059	0.09025	0.5685	20000
	dRR_Oir[25,13]	36.49	19.89	8.322	33.18	84.58	20000
	dRR_Oir[25,14]	38.77	6.374	27.67	38.22	52.49	20000
	dRR_Oir[25,15]	37.85	20.21	9.777	34.2	86.13	20000
	dRR_Oir[25,16]	11.62	3.475	5.963	11.18	19.47	20000
	dRR_Oir[25,17]	39.89	21.11	10.18	36.36	90.34	20000
	dRR_Oir[25,18]	0.381	0.311	0.05705	0.2965	1.175	20000
	dRR_Oir[25,19]	2.569	1.231	0.8125	2.363	5.529	20000
	dRR_Oir[25,20]	37.72	22.43	6.174	34.1	90.08	20000
	dRR_Oir[25,21]	19.83	4.005	12.93	19.55	28.66	20000
	dRR_Oir[25,22]	45.72	22.86	11.77	42.2	102.2	20000
	dRR_Oir[26,11]	10.58	1.857	7.314	10.45	14.59	20000
	dRR_Oir[26,12]	0.1197	0.1186	0.01044	0.08329	0.4467	20000
	dRR_Oir[26,13]	31.27	3.571	24.88	31.05	39.01	20000
	dRR_Oir[26,19]	1.342	0.5726	0.4927	1.251	2.703	20000
	dRR_Oir[26,20]	1.58	0.6508	0.6119	1.48	3.123	20000
	dRR_Oir[27,10]	0.3765	0.4296	0.0284	0.2388	1.517	20000
	dRR_Oir[27,11]	5.348	2.858	1.515	4.771	12.42	20000
	dRR_Oir[27,12]	0.08018	0.1247	0.003287	0.04045	0.4035	20000
	dRR_Oir[27,13]	3.356	2.119	0.7555	2.847	8.853	20000
	dRR_Oir[27,14]	3.518	2.106	0.8094	3.072	8.891	20000
	dRR_Oir[27,15]	48.57	10.1	31.29	47.77	70.84	20000
	dRR_Oir[27,16]	0.4662	0.4829	0.04114	0.3151	1.796	20000
	dRR_Oir[27,17]	1.009	0.9379	0.1071	0.729	3.596	20000
	dRR_Oir[27,19]	2.179	1.519	0.426	1.798	6.024	20000
	dRR_Oir[27,20]	4.82	2.415	1.471	4.382	10.71	20000
	dRR_Oir[27,21]	6.934	3.108	2.37	6.436	14.32	20000
	dRR_Oir[27,22]	10.51	3.952	4.386	9.93	19.48	20000
	dRR_Oir[28,10]	0.3434	0.3603	0.02729	0.23	1.316	20000
	dRR_Oir[28,11]	7.455	2.952	3.028	7.032	14.31	20000
	dRR_Oir[28,12]	0.07717	0.1125	0.003229	0.03962	0.3834	20000
	dRR_Oir[28,13]	4.917	2.328	1.57	4.512	10.47	20000
	dRR_Oir[28,14]	1.19	0.8308	0.2133	0.9818	3.326	20000
	dRR_Oir[28,15]	20.85	4.964	12.46	20.38	31.53	20000
	dRR_Oir[28,16]	0.4363	0.4334	0.04115	0.3043	1.609	20000
	dRR_Oir[28,17]	0.8141	0.6806	0.09945	0.6256	2.626	20000
	dRR_Oir[28,19]	6.139	2.607	2.287	5.726	12.44	20000
	dRR_Oir[28,20]	4.839	2.009	1.825	4.55	9.677	20000
	dRR_Oir[28,21]	6.349	2.373	2.643	6.048	11.77	20000
	dRR_Oir[28,22]	3.277	1.562	1.058	3.008	7.059	20000
	dRR_Oir[29,10]	0.3491	0.3743	0.02713	0.2317	1.371	20000
	dRR_Oir[29,11]	5.439	2.627	1.722	4.969	11.78	20000
	dRR_Oir[29,12]	0.07743	0.1162	0.00286	0.04	0.3728	20000
	dRR_Oir[29,13]	3.724	2.11	0.967	3.291	9.077	20000
	dRR_Oir[29,14]	1.377	1.029	0.2262	1.1	4.123	20000
	dRR_Oir[29,15]	54.68	8.502	39.39	54.27	72.41	20000
	dRR_Oir[29,16]	0.4606	0.4785	0.03975	0.3132	1.748	20000
	dRR_Oir[29,19]	1.798	1.159	0.391	1.529	4.74	20000
	dRR_Oir[29,20]	7.549	2.838	3.138	7.146	14.12	20000
	dRR_Oir[29,21]	3.473	1.868	0.9766	3.089	8.192	20000
	dRR_Oir[29,22]	26.44	6.661	15.48	25.8	41.36	20000
	dRR_Oir[30,10]	0.3756	0.4276	0.02816	0.2399	1.525	20000
	dRR_Oir[30,11]	10.13	4.461	3.601	9.424	20.82	20000
	dRR_Oir[30,12]	0.07963	0.1206	0.003121	0.04002	0.3928	20000
	dRR_Oir[30,13]	4.557	2.653	1.129	3.986	11.36	20000
	dRR_Oir[30,15]	58.27	11.67	37.91	57.57	82.4	20000
	dRR_Oir[30,16]	0.4877	0.5187	0.04167	0.3217	1.916	20000
	dRR_Oir[30,17]	1.079	1.051	0.1088	0.7548	3.916	20000
	dRR_Oir[30,19]	5.302	2.933	1.373	4.732	12.73	20000
	dRR_Oir[30,20]	15.32	5.581	6.757	14.58	27.99	20000
	dRR_Oir[30,21]	11.05	4.866	3.833	10.26	22.32	20000
	dRR_Oir[30,22]	10.76	4.789	3.732	9.984	22.19	20000
	dRR_Oir[31,10]	1.071	0.9646	0.1394	0.7886	3.656	20000
	dRR_Oir[31,11]	4.454	2.578	1.117	3.907	10.93	20000
	dRR_Oir[31,12]	0.1815	0.2439	0.01053	0.1052	0.8273	20000
	dRR_Oir[31,13]	26.74	7.905	13.99	25.86	44.58	20000
	dRR_Oir[31,14]	28.67	8.259	14.91	27.75	46.74	20000
	dRR_Oir[31,15]	29.54	8.045	16.21	28.77	47.45	20000
	dRR_Oir[31,16]	0.8744	0.7878	0.1132	0.6394	3.039	20000
	dRR_Oir[31,17]	76.3	13.15	52.62	75.54	104.2	20000
	dRR_Oir[31,18]	0.5827	0.5536	0.06288	0.4126	2.127	20000
	dRR_Oir[31,19]	47.08	9.926	29.66	46.3	67.59	20000
	dRR_Oir[31,20]	72.1	12.57	49.49	71.5	97.77	20000
	dRR_Oir[31,21]	26.83	8.18	13.62	25.91	44.87	20000
	dRR_Oir[31,22]	36.08	10.4	18.89	34.95	60.03	20000
	dRR_Oir[32,10]	0.7635	0.5637	0.1305	0.6167	2.217	20000
	dRR_Oir[32,11]	2.89	1.332	0.9639	2.655	6.095	20000
	dRR_Oir[32,12]	0.1604	0.1888	0.01085	0.09947	0.6533	20000
	dRR_Oir[32,13]	25.54	4.566	17.43	25.28	35.35	20000
	dRR_Oir[32,14]	44.59	6.061	33.58	44.29	57.29	20000
	dRR_Oir[32,15]	43.31	5.956	32.38	43.03	55.95	20000
	dRR_Oir[32,16]	0.6503	0.4941	0.1034	0.5194	1.956	20000
	dRR_Oir[32,17]	69.43	7.816	55.0	69.12	85.45	20000
	dRR_Oir[32,18]	0.4927	0.4308	0.0625	0.3685	1.662	20000
	dRR_Oir[32,19]	13.56	3.514	7.646	13.23	21.37	20000
	dRR_Oir[32,20]	13.75	3.598	7.797	13.4	21.66	20000
	dRR_Oir[32,21]	18.36	3.889	11.65	18.05	26.91	20000
	dRR_Oir[32,22]	24.58	4.716	16.33	24.23	34.73	20000
	dRR_Oir[33,8]	4.464	3.665	0.5048	3.455	13.53	20000
	dRR_Oir[33,10]	1.077	0.7415	0.1988	0.8942	2.987	20000
	dRR_Oir[33,11]	5.387	2.027	2.258	5.098	10.08	20000
	dRR_Oir[33,12]	0.1621	0.1893	0.01053	0.09973	0.6841	20000
	dRR_Oir[33,13]	10.36	2.855	5.581	10.08	16.76	20000
	dRR_Oir[33,14]	23.57	4.566	15.71	23.21	33.7	20000
	dRR_Oir[33,15]	22.01	3.932	15.05	21.81	30.32	20000
	dRR_Oir[33,16]	0.657	0.4768	0.1118	0.5347	1.886	20000
	dRR_Oir[33,17]	3.822	1.556	1.47	3.606	7.463	20000
	dRR_Oir[33,18]	0.4726	0.3699	0.06754	0.3735	1.422	20000
	dRR_Oir[33,19]	17.48	3.474	11.48	17.2	24.99	20000
	dRR_Oir[33,20]	8.851	2.393	4.792	8.666	14.2	20000
	dRR_Oir[33,21]	21.36	3.861	14.42	21.15	29.6	20000
	dRR_Oir[33,22]	9.757	2.579	5.405	9.516	15.53	20000
	dRR_Oir[34,8]	4.634	4.035	0.4757	3.455	15.27	20000
	dRR_Oir[34,10]	1.45	0.9231	0.3096	1.246	3.798	20000
	dRR_Oir[34,11]	11.7	3.152	6.424	11.37	18.62	20000
	dRR_Oir[34,12]	0.1598	0.1862	0.01038	0.1002	0.6647	20000
	dRR_Oir[34,13]	34.68	5.536	24.91	34.35	46.46	20000
	dRR_Oir[34,14]	28.52	5.057	19.51	28.17	39.23	20000
	dRR_Oir[34,15]	39.35	5.609	29.3	39.03	51.12	20000
	dRR_Oir[34,16]	0.9255	0.6277	0.1761	0.7791	2.501	20000
	dRR_Oir[34,17]	12.88	3.329	7.242	12.56	20.3	20000
	dRR_Oir[34,18]	0.5198	0.4306	0.06923	0.3996	1.66	20000
	dRR_Oir[34,19]	86.34	9.786	67.69	85.89	106.5	20000
	dRR_Oir[34,20]	57.58	7.977	43.29	57.09	74.67	20000
	dRR_Oir[34,21]	44.4	6.999	31.94	44.01	58.99	20000
	dRR_Oir[34,22]	26.2	5.677	16.57	25.7	38.8	20000
	dRR_Oir[35,2]	17.18	4.289	9.863	16.81	26.63	20000
	dRR_Oir[35,3]	36.3	6.455	24.84	35.85	50.03	20000
	dRR_Oir[35,5]	5.375	2.276	2.02	5.003	10.79	20000
	dRR_Oir[35,6]	3.496	1.798	1.061	3.153	7.829	20000
	dRR_Oir[35,7]	11.76	3.69	5.788	11.33	20.1	20000
	dRR_Oir[35,8]	11.54	3.641	5.619	11.12	19.99	20000
	dRR_Oir[35,9]	12.94	4.036	6.316	12.45	21.98	20000
	dRR_Oir[35,10]	0.2232	0.2073	0.03017	0.1632	0.7557	20000
	dRR_Oir[35,11]	3.157	1.737	0.8852	2.797	7.46	20000
	dRR_Oir[35,12]	0.07926	0.08759	0.007455	0.05235	0.3054	20000
	dRR_Oir[35,13]	29.62	6.351	18.69	29.12	43.55	20000
	dRR_Oir[35,19]	34.14	6.915	22.0	33.73	48.95	20000
	dRR_Oir[35,20]	15.66	4.586	8.065	15.17	26.05	20000
	dRR_Oir[35,22]	28.47	6.145	17.84	27.95	41.56	20000
	dRR_Oir[35,23]	19.65	4.924	11.28	19.18	30.74	20000
	dRR_Oir[35,24]	28.67	6.575	17.54	28.06	42.92	20000
	dRR_Oir[35,25]	21.18	5.22	12.42	20.72	32.56	20000
	dRR_Oir[35,26]	47.98	8.002	33.58	47.48	65.31	20000
	dRR_Oir[35,27]	63.19	10.45	44.52	62.43	85.57	20000
	dRR_Oir[35,28]	58.55	9.552	41.23	58.07	79.1	20000
	dRR_Oir[35,29]	73.18	10.96	53.73	72.53	96.58	20000
	dRR_Oir[35,30]	13.16	5.395	5.396	12.23	26.51	20000
	dRR_Oir[36,2]	21.83	3.708	15.31	21.57	29.79	20000
	dRR_Oir[36,3]	39.2	4.93	30.12	39.02	49.45	20000
	dRR_Oir[36,5]	5.167	1.782	2.354	4.954	9.291	20000
	dRR_Oir[36,6]	7.736	2.442	3.864	7.437	13.3	20000
	dRR_Oir[36,7]	26.45	4.456	18.56	26.18	35.94	20000
	dRR_Oir[36,8]	21.41	3.918	14.47	21.14	29.64	20000
	dRR_Oir[36,9]	12.34	3.022	7.178	12.05	19.05	20000
	dRR_Oir[36,10]	0.2057	0.1805	0.03112	0.153	0.6853	20000
	dRR_Oir[36,11]	3.293	1.502	1.172	3.024	6.925	20000
	dRR_Oir[36,12]	0.07696	0.0819	0.007166	0.05204	0.3	20000
	dRR_Oir[36,13]	55.36	6.726	42.91	55.03	69.13	20000
	dRR_Oir[36,19]	48.85	6.422	37.01	48.57	62.15	20000
	dRR_Oir[36,20]	13.47	3.305	7.938	13.16	20.8	20000
	dRR_Oir[36,22]	27.32	4.499	19.42	27.09	36.98	20000
	dRR_Oir[36,23]	30.36	4.785	21.84	30.09	40.57	20000
	dRR_Oir[36,24]	22.47	4.37	14.9	22.14	31.66	20000
	dRR_Oir[36,25]	52.1	6.614	40.13	51.72	66.08	20000
	dRR_Oir[36,26]	98.78	8.807	82.39	98.46	116.7	20000
	dRR_Oir[36,27]	94.76	10.29	76.07	94.18	116.5	20000
	dRR_Oir[36,28]	84.81	8.907	68.4	84.35	103.7	20000
	dRR_Oir[36,29]	70.0	8.141	55.1	69.67	87.09	20000
	dRR_Oir[36,30]	8.172	3.206	3.531	7.652	15.76	20000
	dRR_Oir[37,2]	101.9	14.44	75.78	101.2	132.3	20000
	dRR_Oir[37,3]	32.19	6.65	20.29	31.71	46.49	20000
	dRR_Oir[37,5]	8.569	3.353	3.472	8.08	16.17	20000
	dRR_Oir[37,6]	3.073	1.738	0.8313	2.704	7.51	20000
	dRR_Oir[37,7]	18.37	5.28	9.615	17.75	30.24	20000
	dRR_Oir[37,8]	23.87	6.122	13.59	23.31	37.52	20000
	dRR_Oir[37,9]	20.01	5.707	10.58	19.43	32.91	20000
	dRR_Oir[37,10]	0.2265	0.2129	0.03088	0.1646	0.7871	20000
	dRR_Oir[37,11]	3.554	2.027	0.9852	3.121	8.64	20000
	dRR_Oir[37,12]	0.08062	0.09186	0.007472	0.0524	0.3164	20000
	dRR_Oir[37,13]	63.15	10.63	44.23	62.43	85.64	20000
	dRR_Oir[37,19]	67.97	11.16	48.01	67.34	91.76	20000
	dRR_Oir[37,20]	25.4	6.711	14.2	24.79	40.2	20000
	dRR_Oir[37,22]	60.95	10.28	42.38	60.35	82.84	20000
	dRR_Oir[37,23]	42.44	8.407	27.46	41.9	60.51	20000
	dRR_Oir[37,24]	95.6	14.58	69.52	94.74	126.7	20000
	dRR_Oir[37,25]	57.92	10.16	39.79	57.23	79.74	20000
	dRR_Oir[37,26]	77.07	11.5	56.41	76.5	101.2	20000
	dRR_Oir[37,27]	126.7	17.11	95.9	125.6	162.8	20000
	dRR_Oir[37,28]	116.6	15.4	88.67	115.7	148.5	20000
	dRR_Oir[37,29]	99.04	12.31	76.51	98.34	124.6	20000
	dRR_Oir[37,30]	8.786	3.693	3.405	8.152	17.62	20000
	dRR_Oir[38,2]	14.27	2.914	9.14	14.04	20.57	20000
